id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
3_3_SPEAKER_01,3,4,1,312,7206,86,3.627906976744186,1,1,1,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,66,0.3333333333333333,0.15,0.3947545024887606
3_3_SPEAKER_01,3,4,1,312,7206,86,3.627906976744186,1,2,1,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,66,0.3333333333333333,0.15,0.3947545024887606
3_3_SPEAKER_01,3,4,1,312,7206,86,3.627906976744186,1,3,31,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,66,0.3333333333333333,0.15,0.3947545024887606
3_3_SPEAKER_02,3,4,2,333,7206,86,3.872093023255814,2,0,0,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,36,0.6666666666666666,0.15,0.22187664925665118
3_3_SPEAKER_02,3,4,2,333,7206,86,3.872093023255814,2,1,1,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,36,0.6666666666666666,0.15,0.22187664925665118
3_3_SPEAKER_02,3,4,2,333,7206,86,3.872093023255814,2,2,0,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,36,0.6666666666666666,0.15,0.22187664925665118
3_3_SPEAKER_02,3,4,2,333,7206,86,3.872093023255814,2,3,17,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,36,0.6666666666666666,0.15,0.22187664925665118
3_3_SPEAKER_03,3,4,3,6223,7206,86,72.36046511627907,3,0,22,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,218,0.3333333333333333,0.05555555555555555,0.8421893474534637
3_3_SPEAKER_03,3,4,3,6223,7206,86,72.36046511627907,3,1,30,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,218,0.3333333333333333,0.05555555555555555,0.8421893474534637
3_3_SPEAKER_03,3,4,3,6223,7206,86,72.36046511627907,3,2,17,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,218,0.3333333333333333,0.05555555555555555,0.8421893474534637
3_3_SPEAKER_03,3,4,3,6223,7206,86,72.36046511627907,3,3,40,0.75,15.416666666666666,0.37972972890869244,0.20831568074221918,218,0.3333333333333333,0.05555555555555555,0.8421893474534637
3_4_SPEAKER_00,3,5,0,92,2852,37,2.4864864864864864,0,0,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,8,0.0,0.12,0.15794120144755305
3_4_SPEAKER_00,3,5,0,92,2852,37,2.4864864864864864,0,1,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,8,0.0,0.12,0.15794120144755305
3_4_SPEAKER_00,3,5,0,92,2852,37,2.4864864864864864,0,2,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,8,0.0,0.12,0.15794120144755305
3_4_SPEAKER_00,3,5,0,92,2852,37,2.4864864864864864,0,3,4,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,8,0.0,0.12,0.15794120144755305
3_4_SPEAKER_01,3,5,1,193,2852,37,5.216216216216216,1,0,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,10,0.0,0.12,0.16513519720502828
3_4_SPEAKER_01,3,5,1,193,2852,37,5.216216216216216,1,1,1,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,10,0.0,0.12,0.16513519720502828
3_4_SPEAKER_01,3,5,1,193,2852,37,5.216216216216216,1,2,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,10,0.0,0.12,0.16513519720502828
3_4_SPEAKER_01,3,5,1,193,2852,37,5.216216216216216,1,3,4,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,10,0.0,0.12,0.16513519720502828
3_4_SPEAKER_02,3,5,2,232,2852,37,6.27027027027027,2,0,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,18,0.0,0.08571428571428572,0.3553677032497194
3_4_SPEAKER_02,3,5,2,232,2852,37,6.27027027027027,2,1,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,18,0.0,0.08571428571428572,0.3553677032497194
3_4_SPEAKER_02,3,5,2,232,2852,37,6.27027027027027,2,2,0,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,18,0.0,0.08571428571428572,0.3553677032497194
3_4_SPEAKER_02,3,5,2,232,2852,37,6.27027027027027,2,3,9,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,18,0.0,0.08571428571428572,0.3553677032497194
3_4_SPEAKER_03,3,5,3,2335,2852,37,63.108108108108105,3,0,4,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,70,1.0,0.17647058823529413,0.9063656762126306
3_4_SPEAKER_03,3,5,3,2335,2852,37,63.108108108108105,3,1,4,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,70,1.0,0.17647058823529413,0.9063656762126306
3_4_SPEAKER_03,3,5,3,2335,2852,37,63.108108108108105,3,2,9,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,70,1.0,0.17647058823529413,0.9063656762126306
