id,project,meeting_number,speaker_number,speech_frequency,total_speeches,normalized_speech_frequency,speaker_id,next_speaker_id,count,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,density
4_4_SPEAKER_01,4,5,1,61,727,0.08390646492434663,1,4,4,2.5,0.027777777777777776,1.0,0.47581325656312895,1.15
4_4_SPEAKER_02,4,5,2,34,727,0.04676753782668501,2,2,16,2.25,0.0,1.0,0.47581325656312895,1.15
4_4_SPEAKER_02,4,5,2,34,727,0.04676753782668501,2,3,7,2.25,0.0,1.0,0.47581325656312895,1.15
4_4_SPEAKER_02,4,5,2,34,727,0.04676753782668501,2,0,6,2.25,0.0,1.0,0.47581325656312895,1.15
4_4_SPEAKER_02,4,5,2,34,727,0.04676753782668501,2,1,5,2.25,0.0,1.0,0.47581325656312895,1.15
4_4_SPEAKER_04,4,5,4,21,727,0.02888583218707015,4,3,12,1.75,0.0,0.8,0.30725718789828194,1.15
4_4_SPEAKER_04,4,5,4,21,727,0.02888583218707015,4,0,6,1.75,0.0,0.8,0.30725718789828194,1.15
4_4_SPEAKER_04,4,5,4,21,727,0.02888583218707015,4,1,2,1.75,0.0,0.8,0.30725718789828194,1.15
4_4_SPEAKER_04,4,5,4,21,727,0.02888583218707015,4,2,1,1.75,0.0,0.8,0.30725718789828194,1.15
4_5_SPEAKER_03,4,6,3,380,505,0.7524752475247525,3,3,337,2.5,0.375,1.0,0.5443758485924526,0.95
4_5_SPEAKER_03,4,6,3,380,505,0.7524752475247525,3,4,7,2.5,0.375,1.0,0.5443758485924526,0.95
4_5_SPEAKER_03,4,6,3,380,505,0.7524752475247525,3,0,19,2.5,0.375,1.0,0.5443758485924526,0.95
4_5_SPEAKER_03,4,6,3,380,505,0.7524752475247525,3,1,9,2.5,0.375,1.0,0.5443758485924526,0.95
4_5_SPEAKER_03,4,6,3,380,505,0.7524752475247525,3,2,8,2.5,0.375,1.0,0.5443758485924526,0.95
4_5_SPEAKER_00,4,6,0,46,505,0.09108910891089109,0,3,16,2.0,0.08333333333333333,0.8,0.41802379479049856,0.95
4_5_SPEAKER_00,4,6,0,46,505,0.09108910891089109,0,0,25,2.0,0.08333333333333333,0.8,0.41802379479049856,0.95
4_5_SPEAKER_00,4,6,0,46,505,0.09108910891089109,0,2,3,2.0,0.08333333333333333,0.8,0.41802379479049856,0.95
4_5_SPEAKER_00,4,6,0,46,505,0.09108910891089109,0,1,2,2.0,0.08333333333333333,0.8,0.41802379479049856,0.95
4_5_SPEAKER_01,4,6,1,37,505,0.07326732673267326,1,1,25,2.0,0.041666666666666664,0.8,0.497251992002449,0.95
4_5_SPEAKER_01,4,6,1,37,505,0.07326732673267326,1,2,2,2.0,0.041666666666666664,0.8,0.497251992002449,0.95
4_5_SPEAKER_01,4,6,1,37,505,0.07326732673267326,1,3,9,2.0,0.041666666666666664,0.8,0.497251992002449,0.95
4_5_SPEAKER_01,4,6,1,37,505,0.07326732673267326,1,0,1,2.0,0.041666666666666664,0.8,0.497251992002449,0.95
4_5_SPEAKER_02,4,6,2,29,505,0.05742574257425743,2,3,12,1.75,0.0,0.8,0.497251992002449,0.95
4_5_SPEAKER_02,4,6,2,29,505,0.05742574257425743,2,2,16,1.75,0.0,0.8,0.497251992002449,0.95
4_5_SPEAKER_02,4,6,2,29,505,0.05742574257425743,2,1,1,1.75,0.0,0.8,0.497251992002449,0.95
4_5_SPEAKER_04,4,6,4,13,505,0.02574257425742574,4,3,6,1.25,0.0,0.5714285714285714,0.18545068173881385,0.95
4_5_SPEAKER_04,4,6,4,13,505,0.02574257425742574,4,0,1,1.25,0.0,0.5714285714285714,0.18545068173881385,0.95
4_5_SPEAKER_04,4,6,4,13,505,0.02574257425742574,4,4,6,1.25,0.0,0.5714285714285714,0.18545068173881385,0.95
